ASIN,TITLE,DESCRIPTION,PRICE,CATEGORIES,URL
'B0000001P4,That Secret Place,That Secret Place by Patti AustinThis product is manufactured on demand using CD-R recordable media. Amazon.com's standard return policy will apply.,13.98,CDs & Vinyl Jazz CDs & Vinyl Pop Adult Contemporary CDs & Vinyl R&B Soul Digital Music Jazz Soul-Jazz & Boogaloo,http://ecx.images-amazon.com/images/I/516C%2BeknCPL._SY300_.jpg
'B0000001RE,Flight to Freedom,NULL,23.96,CDs & Vinyl Jazz Latin Jazz CDs & Vinyl Latin Music Latin Pop CDs & Vinyl Pop CDs & Vinyl World Music Caribbean & Cuba Cuba Digital Music Jazz Latin Jazz,http://ecx.images-amazon.com/images/I/41822VM7ZAL.jpg
'B0000001VZ,Salinas,"This is the mainstream recording debut of Luis Salinas the young Argentinian guitarist/composer whose admirers include Chick Corea and the late great Brazilian guitarist/composer Baden Powell. Salinas plays both electric and acoustic guitar on this set of his own compositions fronting a quartet that includes the popular Sammy Figueroa on percussion. At first blush given the continuous layer of synth violins the sound seems to fit the familiar formula of ""smooth"" jazz. Yet while the music is largely relaxed it's more varied and interesting than the usual ""lite"" fare -- it has real drums and a clear sense of direction. Salinas offers a personalized mix of bossa nova salsa Argentinian folk music bolero and jazz; the percussive accents and expressive range of the guitar and piano keep the mix from blending too smooth. Most of the tunes are taken at mid-tempo; the distinctive high points are the ballads. Salinas captures the dreamy sound of Jobim's melodic successor on ""For Ivan Lins"" and sings in Spanish with considerable soul and class on his beautiful ""Count on Me"" and ""Back to the Place I Love""; on the latter he also salutes one of his mentors George Benson when he vocalizes the guitar lines. The closer is ""Blue Zamba"" a lovely solo track that belongs squarely in the tradition of the great Latin acoustic players but with a whiff of Joe Pass as well. All told a very promising debut. ~ Judith Schlesinger Personnel includes: Luis Salinas (vocals guitar). Personnel: Luis Salinas (vocals guitar).",9.49,CDs & Vinyl Jazz Latin Jazz CDs & Vinyl Latin Music Latin Pop CDs & Vinyl Pop CDs & Vinyl World Music Digital Music Jazz Latin Jazz,http://ecx.images-amazon.com/images/I/41200A746EL.jpg
'B0000001XX,New Wind,Classic H/C outfit this time turned more melodic.,16.08,CDs & Vinyl Alternative Rock American Alternative CDs & Vinyl Alternative Rock Hardcore & Punk Hardcore CDs & Vinyl Alternative Rock Hardcore & Punk Punk CDs & Vinyl Alternative Rock Hardcore & Punk Straight Edge CDs & Vinyl Alternative Rock Indie & Lo-Fi Indie Rock CDs & Vinyl Metal CDs & Vinyl Pop CDs & Vinyl Rock Digital Music Alternative Rock Hardcore & Punk,http://ecx.images-amazon.com/images/I/51rk3v4VqlL._SY300_.jpg
'B0000001UY,Ultimate Collection,,12.85,CDs & Vinyl Blues CDs & Vinyl Jazz Soul-Jazz & Boogaloo CDs & Vinyl Pop Adult Contemporary CDs & Vinyl R&B Soul Digital Music Jazz Soul-Jazz & Boogaloo,http://ecx.images-amazon.com/images/I/51D2g0OvDDL._SY300_.jpg
'B0000001XH,Voices in the Rain,NULL,6.99,CDs & Vinyl Jazz Bebop CDs & Vinyl Jazz Jazz Fusion CDs & Vinyl Jazz Modern Postbebop CDs & Vinyl Jazz Smooth Jazz CDs & Vinyl Jazz Soul-Jazz & Boogaloo CDs & Vinyl Pop CDs & Vinyl R&B Digital Music Jazz Soul-Jazz & Boogaloo,http://ecx.images-amazon.com/images/I/41JSEJ2WXWL._SX300_.jpg
'B00000023Z,Second Generation Bluegrass,,15.74,"CDs & Vinyl Country Bluegrass CDs & Vinyl Country Neotraditional CDs & Vinyl Country Outlaw Country CDs & Vinyl Country ""Todays Country"" CDs & Vinyl Folk CDs & Vinyl Pop Vocal Pop Digital Music Country Bluegrass",http://ecx.images-amazon.com/images/I/51xSvjGSDAL._SY300_.jpg
'B000000241,Award Winning,,16.04,"CDs & Vinyl Country Bluegrass CDs & Vinyl Country Classic Country CDs & Vinyl Country ""Todays Country"" CDs & Vinyl Folk Contemporary Folk CDs & Vinyl Folk Traditional Folk CDs & Vinyl Pop Digital Music Country Bluegrass",http://ecx.images-amazon.com/images/I/51tLPVBVkQL._SY300_.jpg
'B00000024B,California Autumn,This early LP (1975) by this flat-picking guitar phenom is split between songs and magnificent instrumentals. Ricky Skaggs J.D. Crowe brother Larry Rice and members of Seldom Scene join in on Bullet Man; Mr. Poverty; Red Haired Boy; Bugle Call Rag; Scarborough Fair; Alone and Forsaken  and more!,15.82,"CDs & Vinyl Country Bluegrass CDs & Vinyl Country Classic Country CDs & Vinyl Country ""Todays Country"" CDs & Vinyl Folk Contemporary Folk CDs & Vinyl Folk Traditional Folk CDs & Vinyl Pop Digital Music Country Bluegrass",http://ecx.images-amazon.com/images/I/21MPQVKRGWL.jpg
'B00000024P,Model Church,,15.81,"CDs & Vinyl Christian Country & Bluegrass CDs & Vinyl Christian Southern Gospel CDs & Vinyl Country Bluegrass CDs & Vinyl Country ""Todays Country"" CDs & Vinyl Folk Contemporary Folk CDs & Vinyl Gospel CDs & Vinyl Pop Digital Music Country Bluegrass",http://ecx.images-amazon.com/images/I/419SC8EGSKL._SX300_.jpg
