index,ASIN,OVERALL,ReviewText,ReviewTime,ReviewerID,ReviewerName,Summary,UnixReviewTime,Helpful,sentimental_score
165832,'B00008H2LB,5,"I personally tried to stay away from this Genre. You know with people rapping and screaming and a lot of guitar. But this CD is artisically very ingenious. I love it.The songs are very deep and full of meaning. I do not like songs that just stratch the surface or are very ""teenybopper""-ish. This songs are really good.",09 4 2005,A1EZWKSLILGUKT,"A. Baker ""TofuDog""",'This Genre is not my favourite but I LOVE LINKIN PARK,'1125792000,1 \  1,1
165833,'B00008H2LB,5,This is the kind of cd that all bands should strive to make.Every song is a good one not just the first single.Linkin Park did it again with this cd collection must have.Buy it it is totaly worth the 15 bucks.,07 2 2003,A368EH4MV98H2K,Abby Olin,'Killer Music,'1057104000,0 \  0,1
165834,'B00008H2LB,5,Another great album from a great band. At first I felt dissappointed because of the 12 short tracks but after listening to them thoroughly I realized how great they are. The new CD offers new tunes yet recognizable with LP fans. Joe Hahn as always did an outstanding job with his beats though I felt there was less rapping by Mike this album and more of Chester singing hence showing more of his talent. This is a must for linkin park fans and rock fans.,03 26 2003,AUU73G1MGGII1,Abdulla,'Another thumbs up for Linkin Park,'1048636800,0 \  0,1
165835,'B00008H2LB,1,Several months ago I saw them at Live8 and saw them perform and I was sold that this band is not metal at all. The only instrument this band needs is a dj because one thing I noticed is that no one was playing an instrument during a song and how the hell you call yourself a rock band? Any hoo the songs really got old fast and annoying which brings me to the vocalist Chester can't sing and has a pathetic girlish growl and sceaming is his only skill(sidenote doctors recommended to chester not to scream or his stomach might kill him). But the reason I stopped liking them was the album with Jay-z I hate Jay z's guts and anyone around him. I suggest anything from Tool Slayer and Pantera instead for real metal.,09 21 2005,A10IDVD9INU6FP,"Abomination to god ""A dying god coming into h...",'I finally see the weakness in this band,'1127260800,5 \  10,0
165836,'B00008H2LB,5,The easiest place to start is comparing Meteora to one of the best debut cds ever Hybrid Theory (HT).  I dont think Meteora is as solid 1 through 13 (11 songs with lyrics just like HT) but it certainly has some great songs.The first single &quot;Somewhere I Belong&quot; is probally one of the best on the cd.  It's very similar in setup to &quot;In the End&quot; (HT) and is about on par with it in quality.  &quot;Easier to Run&quot; &quot;Faint&quot; &quot;From the Inside&quot; &quot;Numb&quot; and others are all very good and all differ in the type of music.  It's amazing how Linkin Park can go from near heavy metal to ballads and sound good doing both.  I'm glad LP got their first single choice right this time (apologies to those that liked One Step Closer the most on Hybrid Theory...) but I was kinda disappointed that &quot;Somewhere I Belong&quot; may be their best song on this cd only because I've already heard it.  It took 3 singles to choose the best for HT (IMHO).Nevertheless Meteora deserves a 5 star rating because it has a variety of songs that all sound great. Linkin Park always put out songs that sound great and promote an emotional response like very few other bands can do at least this well (speaking of alternative rock/rap that is).If you like linkin park you'll love this cd and if you havent listened to linkin park before buy this and Hybrid Theory (first cd).,03 25 2003,A288KDX600F984,A. Brown,'Not as good as hybrid theory but still great,'1048550400,0 \  0,1
165837,'B00008H2LB,5,"One day at school I overheard these two guys talking about the new LP album to be relwased in about a month.I am like a major LP fan:i have t-shirtsDVDs Posters CDs all ove my room and most of my possesions.Anyway i walk up to the guys and say something like ""hey guys what u talking about"" and one of them replies ""oh nothing U probably don't know who they are"" and walks off.Anyway these guys thought they were like major fansturns out i have more merch than both put together and doubled.The guys who talked to me was probably pretty hacked off when i opened my desk with LPLinkin Park scribblede and carved all over it.Anyway great album must have(must play loud to).Also look for AdEMAThe OffspringBlink182Taproot and soulfly if u like LP(LP=Linkin Park).",08 31 2004,A3DGJAYO88SSIW,Ace Ventura,'Don't say what you don't know,'1093910400,0 \  5,0
165838,'B00008H2LB,5,this cd is one of the best of the decade let alone the year. It's wonderful. Linkin Park is one of my absolute favorite bands and i love their music very much (i own hybrid theory reanimation meteora and all the EP songs). Meteora is an awesome cd complete with extras on the cd and all that jazz. You can feel emotion in this music right through your body. Its the hard stuff for sure. I'm estatic over this cd and would tell everyone in the world to get a copy because it is that good of a cd. Even if you dont love LP as much as I do this cd is still marvelous. Its an immediate buy. Get it and listen to it! you wont regret it ever.,05 1 2003,A3OM4OB7I477GE,"""acid_burn_mc""",'go and buy it now LP ROCKS!,'1051747200,0 \  0,1
165839,'B00008H2LB,5,the songs are all awesome &amp; genuine it's amazing to me that i can relate to alot of the songs it's like Linkin Park knows me &amp; read my diary- i know i'm not the only 1. this is the top best cd u can own!! u will not regret this!  it's great music with lot's of fun beats that'll make u wanna get up &amp; move pump u up. perfect pick for ur next party &amp; makes a fun gift!it's wicked cool!!get this album today!!,06 26 2004,A18M90ZBRXZKR2,A Customer,'Linkin Park ROCKS!! the cd is wicked!,'1088208000,0 \  0,1
165840,'B00008H2LB,2,Linkin Park is a good band but extremly easy to get sick of. I probaly would of given this Cd a 5 star review a year ago when the Cd came out but now a  year has passes and am deathly sick of MTV playing it over and over people going on and on about it and all this. Hybrid Theory was better. It took me by suprise. And I can still occasionly put it in. I can't put this CD in at all. It's too short for starters. YOu can't write a rap-core cd and only have it be 32 min long. not only that they are more techno. When I listen to rap-core band I don't wanna hear all these sound affects they sound like a robot. Rap-core should be in your face energy but with soothing melodies and blood curling screams. You want a good rap-core band. Listen to Limp Bizkit. They kick these guys ass rock-wise. Get three dollar bill by Limp bizkit and Significant Other and Chocolate Starfish don't get the new CD. It sucks. Fred does all of it himself. He doesn't need an extra singer to help him. The other thing I don't like about these guys is all songs sound the same. It starts off with energy with rapping or singing get into the middle of the song and has a chorus than at the end it gets really heavy and chester screams his head off. And that part always sounds the same. Their gatar isn't very complex either. Limp is so much better. Have a good day!,07 12 2004,A3K2J8WQJAPZI0,"Adam ""Adam""",'It isn't that great,'1089590400,1 \  2,1
165841,'B00008H2LB,5,this is turely one of the best cd's i have ever listened to. it is a little short but the song;'s are amazing and the lyrics are unbelievable...buy this u will not be disapointed. i listened to it ever day in my study hall and still listen to it and not sick of any of the songs,12 21 2003,A3E0CY25XJWDL6,Adam,'Great Cd,'1071964800,1 \  2,1
165842,'B00008H2LB,1,Yeah dood this cd is like so great!Linkin Park is teh king of teh metal scene!MTV RaWkS!(If you're a prep buy this it's for you..You'll like it) *rolls eyes*,01 15 2004,A1M6OI771ZMG6M,Adam,'This Band SUCKS!,'1074124800,5 \  11,1
165843,'B00008H2LB,5,This album is awesome. My Favorite band did NOT let me down. This album it even better than the first two. The only problem I have with it is that it is to short. It ends and you just want more.,03 26 2003,A1YUMGC3CZYVL6,Adam Jarrett,'Linkin park rocks!!!!!!!!!!!,'1048636800,0 \  0,1
165844,'B00008H2LB,4,I'm sick and tired of people hating on LP.  They didn't sell millions of albums because they suck.  Sure most of them may be the 14 year olds or the tone deaf ones that buy their stuff.  But you gotta give this band some credit!!!Yes i do agree to some point that their songs sound the same and the have the same message.  I would like to see a band evolve from album to album and LP didn't.  But it's ok.  We all have our own tastes.  LP's good.  Not great but good.They prob won't last forever but until u flamers out there can come out with something better and sell millions of copies stfu and sit down.,01 28 2004,A32P19M0DIGNTB,adam Moore,'FLAME ON!!,'1075248000,1 \  2,0
165845,'B00008H2LB,4,A lot of people have asked me what I thought about Linkin Park's 2003 Sophmore Release 'Meteora' and the first thing I would tell them was that it was a nice follow up with some songs that can push them in a newer direction. Now a lot of you Linkin Park 'haters' who think this album was terrible won't agree with what I am about to say and that's fine. Linkin Park has a style that whether you 'love em' or 'hate em' is catchy and it works. They succesfully have combined hip-hop rock and electronica to make something that most of us enjoy hearing and they ACTUALLY care about their fans unlike most bands out there. Now back to what I was saying before about a 'newer direction'. Meteora was a necessity in Linkin Park's career because they hadn't finished experimenting with their style to a point where they could go into a 'new direction'. Sure 'Meteora' had its moments where it seemed that it was trying to repeat some of the songs from 'Hyrbid Theory' like (Easier to Run=Crawling and Somewhere I Belong=In the End) but there were other songs such as 'Faint' and 'Breaking the Habit' that helped push thier style to a new point. 'Breaking the Habit' especially is the key song that was the most diverse of all the songs from any of their albums and because of it they plan to head the way 'Breaking the Habit'  helped push them for their next album. I am a Linkin Park fan yes but I'm not gonna lie; I like their music and I liked all their albums so far but I really hope they bring something different forward for their third album because that is where true artists make/break it. But Meteora is worth buying; it's short sweet and to the point. No filler songs and a very nice expansion upon Hyrbid Theory. Even if you're skeptical about buying it because you have heard it was bad buy it anyway because why base your decision off of someone elses OPINION. You won't know for sure until you have heard it yourself.,11 19 2004,A1OYOSCVVBFRFX,"Adam R. Foskey ""ARF""",'Why Meteora sounds the way it does.,'1100822400,15 \  17,1
165846,'B00008H2LB,4,Meteora could have been GREAT; but alas! It was fated not to be! I mean come on the album is just 37 minutes long. Does anybody feel tempted to spend 15 bucks on an album which is just 37 minutes long? But there is no denying that the album is good. Some numbers like &quot;Faint&quot; &quot;Somewhere I belong&quot; &quot;Numb&quot; and &quot;Lying to you&quot; are really great! The other songs are pretty good too but you are bound to get disappointed with the duration of the album. It's simply too short! &quot;Hybrid Theory&quot; was a much better album.It's almost as though they were in a rush to get things out. They could have stuck in there and composed some more songs on the album. That's the only ill-feeling I have about this album: it's too short! Were it bigger it would have felt a lot more satisfying. Quality-wise it rules. But quantity-wise the lesser said the better. This album should have been titled as &quot;Evanescent&quot; as that describes it better.,07 3 2003,A3AIDZLJGICG9F,"Aditya Simha ""Adibud34""",'Great but for.....,'1057190400,0 \  0,0
165847,'B00008H2LB,5,Linkin Park's second album Meteora is just as good as their rock/rap creation Hybrid Theory. Meteora has solid catchy and listenable tracks. Some of my favorites include: Nobody's Listening Faint Numb Hit the Floor and Somewhere I Belong. It's kinda cool that this hard-rocking band don't serve out songs with cussing or obscene overtones. Linkin Park is a classy and respected band. Highly recommend this great and satisfying disc. Linkin Park rules!,05 12 2006,A2PV6GK1HV54Y9,ADRIENNE MILLER,"'""Tried to give you warning but everyone ignores me...""",'1147392000,3 \  3,1
165848,'B00008H2LB,2,"...Well here's my short little opinion on Linkin park not that anybody's probably ever going to stumble across it in the mess of 1300+ other reveiws and I'm probably not even going to say anything that hasn't been said already but... here goes.My sister plays this cd CONSTANTLY when she's driving around (I'm 14 she's 16 our parents hate driving hence she occasionally (bordering on often) drives me to after school classes and whatever I need to go to) and (semi-irrelevantly) it drives my parents crazy. I too am no particular fan (however a few songs are catchy Faint and Nobody's Listening are the ones I can think of right now) but I can see what others see in them. Just as a gentle touch or kind words produce soothing neurochemicals harsh noises screaming  produce more acidic (so to speak) neurochemicals. Neurochemicals have a large part in moods emotions even perceived mental and physical well-being. Whereas lighter music makes you feel lighter heavier music makes you feel heavier saddier angrier in a somewhat cliched word ""angstier"". The teenage demographic marketed to by such bands is usually think they are or have cause to be angsty as well and they enjoy -staying- angsty at their parents or how much their life sucks or whatever and the said neurochemicals assist the process and the lyrics embrace such feelings as well.Simply angry music keeps you angry. If that appeals to you go for it; buy this cd. For me I don't think paying $15+ for a cd containing a grand total of 2 songs I'd listen to is a wise choice. Especially when I could just copy them off my sister's. rofl.(I go for Modest Mouse and Tori Amos personally but the parents think -they're- ""satanic"" even if less ""nerve-racking"". I guess one just can't win. ^_^)",09 15 2004,A1W59JSURSPJZS,"Adrik Ottoman ""Asriel""",'I can see the attraction...,'1095206400,3 \  5,1
165849,'B00008H2LB,5,I bought the Linkin Park album w/ the dvd.  It's amazing!  It's one of the few cds that I can play all the way through withut skipping tracks.  Chester (lead vocals) has an amazing voice and the rest of the band has an awesome sound.  All I can say is go out and buy it cus It rocks!,04 1 2003,A938EAPRH626O,"""aef0088@aol.com""",'Absolutely Amazing,'1049155200,6 \  8,1
