ALL_ASIN,ALL_TITLE
'B0000004ZO,too hard to swallow
'B00000052Y,krs-one
'B00000053Q,ridin dirty
'B00000054J,six figures
'B00000053B,r kelly
'B0000004YX,spice 1
'B000000545,hemp museum
'B00000054H,i got next
'B00000051V,hi-five: greatest hits
'B00000053X,backstreet boys
'B000000559,unpredictable
'B000000534,do or die
'B00000054A,the black bossalini
'B00000053G,mind of mystikal
'B0000004YB,shorty the pimp
'B00000055F,r u still down
'B000000536,killa kali
'B000000541,tha hall of game
'B0000005GB,bluegrass at carnegie hall with the country gentlemen
'B000000504,187 he wrote
'B00000052I,in a major way
'B00000051I,federal
'B000000572,heat 4 yo azz
'B00000050H,fear itself
'B0000005PA,i feel so bad
'B0000005PK,someday you'll have these blues
'B0000005P2,battleground
'B0000005S3,i hate these songs
'B0000005OO,lonesome strangers
'B0000005S0,blue pony
'B0000005XM,die for the government
'B0000005X6,the complete studio recordings -volume 1
'B0000005X7,the complete studio recordings - volume 2
'B0000005WT,billy
'B00000063K,industry
'B00000063H,malembe
'B00000064E,five leaves left
'B00000064F,bryter layter
'B00000064G,pink moon
'B0000006E3,heat wave
'B0000006P9,flying south
'B0000006QO,e street
'B0000007SV,transfer station blue
'B0000008OF,be thankful for what you got
'B0000008SX,why can't we live together
'B000000946,magic
'B0000008ZY,honey: the best of bobby goldsboro
'B0000009AC,unshaven: live
'B0000009AN,subliminal plastic motives
'B0000009OU,this year's model
'B0000009QN,on fire
'B0000009QY,copenhagen
'B0000009R2,bothy culture
'B0000009UX,imperial bedroom
'B0000009UZ,goodbye cruel world
'B0000009UW,almost blue
'B0000009WH,sound &amp; vision
'B0000009UL,live-mongoloid years
'B0000009V1,blood &amp; chocolate
'B0000009UT,armed forces
'B0000009YA,serious business
'B0000009YB,showdown
'B0000009QT,the charity of night
'B000000A10,blue streak
'B000000A42,curtain hits the cast
'B000000A0L,blue blazes
'B000000A1K,ticket to chicago
'B000000BE3,remnants of a deeper purity
'B000000BTN,nasty
'B000000CGZ,back to the hotel
'B000000CMP,i specialize in love 1982-1994
'B000000CYO,best of delbert mcclinton
'B000000DAY,rowdy: original classic hits vol. 6
'B000000DAO,one night stand: original classic hits vol.1
'B000000D4B,desert rose band
'B000000DB4,strong stuff: original classic hits vol. 9
'B000000DBM,greatest songs - brook benton
'B000000D1V,complete collection the
'B000000D7C,hank williams jr.'s greatest hits vol.1
'B000000DAW,habits old and new: original classic hits vol. 5
'B000000DAQ,the new south: original classic hits vol. 2
'B000000DH2,bonavista
'B000000DAS,family tradition: original classic hits vol. 3
'B000000D7E,hank williams jr.'s greatest hits vol.2
'B000000EB9,on stage
'B000000ECP,in concert
'B000000EDW,joan baez 2
'B000000EE2,in concert 1
'B000000EE4,in concert 2
'B000000EGO,long journey home
'B000000EF8,blessed are
'B000000EGI,treasures untold
'B000000ECX,joan baez: rare live &amp; classic
'B000000EFC,personal belongings
'B000000EJX,devil got my woman
'B000000EK3,i'm gonna be a country girl again
'B000000EKW,joan baez - hits: greatest &amp; others
'B000000EN4,look left
'B000000EMD,string wizards
'B000000EK0,good deal! doc watson in nasvhille
'B000000EMI,twilight motel
'B000000EKM,she used to wanna be a ballarina
'B000000EO1,string wizard's picks: the best of john mceuen
'B000000EVY,at my window
'B000000EXB,lubbock (on everything)
'B000000EZ6,church street blues
'B000000EG6,driftin way of life
'B000000EYL,one way track
'B000000EYS,early dawg
'B000000EW1,all broken hearts are the same
'B000000EYE,sugar hill collection
'B000000EXO,rear view mirror
'B000000EZ3,morning sky
'B000000EYT,long time gone
'B000000EUU,the truth the whole truth and nothing but the truth
'B000000EZ2,busy bee cafe
'B000000EYP,skaggs &amp; rice
'B000000F1Z,my dear old southern home
'B000000EYY,walls of time
'B000000EZN,blue ridge
'B000000EZQ,first whippoorwill
'B000000EZ8,peter rowan &amp; red hot pickers
'B000000F22,slide rule
'B000000F3F,tree on a hill
'B000000EYV,hillmen
'B000000F2U,back to red river
'B000000F3S,one beautiful day
'B000000F06,new moon rising
'B000000EZI,desert rose
'B000000F5C,bluegrass boy
'B000000END,departure
'B000000F1S,all on a rising day
'B000000F52,red on blonde
'B000000F2A,new frontier
'B000000F0R,classic country gents reunion
'B000000F5M,when no one's around
'B000000F5A,dream scene
'B000000EMO,string wizards ii
'B000000F8V,13 flavors of doom
'B000000F2Q,waitin' for the hard times to go
'B000000F4I,unleashed
'B000000F99,loggerheads
'B000000F8I,dawning of a new error
'B000000EYM,sweet temptation
'B000000FG5,take a ride
'B000000FWL,don't talk just listen
'B000000G00,light to dark
'B000000FX6,bass is the name of the game
'B000000FYX,supernatural
'B000000FX9,back to haunt you
'B000000FXT,bass the final frontier
'B000000FXR,twenty degrees below zero
'B000000GBG,the third power
'B000000HHU,the devil made me do it
'B000000HHI,all hail the queen
'B000000HJO,it takes a thief
'B000000HJ5,gorgeous
'B000000HOB,mustt mustt
'B000000HLL,this is your night
'B000000HKV,gangsta's paradise
'B000000HF0,one more night
'B000000HQ1,earth a.d. &amp; die die my darling
'B000000HPS,big city secrets
'B000000HRS,product
'B000000HT2,youth are getting restless
'B000000HRP,unorthodox behavior
'B000000HSU,rock for light
'B000000HW3,baby's angry
'B000000HZI,scree: rarities 1978-1981
'B000000I0D,crises
'B000000I0G,five miles out
'B000000I32,black dots
'B000000I2R,static age
'B000000I0H,incantations
'B000000I34,mic city sons
'B000000IDJ,ben folds five
'B000000IKA,un peu de l'ame des bandits
'B000000IMY,kaleidoscope world
'B000000INL,continued story and hi how are you: the unfinished album
'B000000IM1,bird dog
'B000000IRN,songs for swingin lovers
'B000000ISE,mr fantasy
'B000000IIQ,music for parties
'B000000J1Q,in place of real insight
'B000000IS5,somethin else
'B000000JKM,blase
'B000000MAL,all about comin up
'B000000M4K,intolerance
'B000000MAS,sex money &amp; murder
'B000000N8Z,that's when i know
'B000000NN1,heaven &amp; hell
'B000000NMZ,spiral
'B000000OB7,against the law
'B000000OJR,party to the bus stop
'B000000OIH,stratosphere breakdown
'B000000OJB,mission impossible
'B000000OMB,asia
'B000000OOE,loser
'B000000OPK,kiss in dreamhouse
'B000000OIF,money spyder
'B000000ORH,heart of stone
'B000000OPC,building the perfect beast
'B000000ORL,flying cowboys
'B000000OPZ,whitesnake
'B000000OQS,chalk mark in a rain storm
'B000000ORX,night ride home
'B000000OQL,robbie robertson
'B000000ORE,great radio controversy
'B000000OPM,once upon a time/the singles
'B000000ORJ,letter from home
'B000000OT3,jackyl
'B000000OT5,twice upon a time: the singles
'B000000OTG,traffic from paradise
'B000000OQW,shooting rubberbands at the stars
'B000000OSL,pop pop
'B000000OQ5,mechanical resonance
'B000000OVC,supersexy swingin' sounds
'B000000OUS,time's makin' changes - the best of tesla
'B000000OUJ,liquid swords
'B000000ORB,the end of the innocence
'B000000OSU,back to basics: the essential collection 1971-1992
'B000000OXD,planet p project
'B000000OU9,tails
'B000000OWM,american psycho
'B000000OME,wild things run fast
'B000000OXE,points on the curve
'B000000OYT,streets of this town
'B000000OYK,cher
'B000000OXT,warming up to the ice age
'B000000OYM,house of dolls
'B000000P0N,you gotta sin to get saved
'B000000OUU,actual miles: henley's greatest hits
'B000000OWT,firecracker
'B000000P08,american in me
'B000000OWW,total madness - very best of madness
'B000000OYB,mosaic
'B000000P0W,thirteen
'B000000OYQ,outrider
'B000000P0G,everywhere at once
'B000000PRS,i know a place
'B000000QGJ,hand to mouth
'B000000QN9,everybody's blues
'B000000QP5,deadly verses
'B000000QPM,controversee...that's life...and that's the way it is
'B000000TDH,tragic kingdom [vinyl]
'B000000UN4,our little secret
'B000000UU3,shot of love
'B000000V0M,journey into the morn
'B000000V5O,sarah masen
'B000000VC2,amor prohibido
'B000000V5V,steven curtis chapman: greatest hits
'B000000V4G,steel witness
'B000000W2X,blessing
'B000000W2Z,here come the lords
'B000000W54,hyperborea
'B000000W78,welcome to the real world
'B000000W6X,protection
'B000000W7W,mr scarface is back
'B000000W8J,secret of the hidden temple
'B000000W80,uncut dope
'B000000W7O,world is yours
'B000000W98,operation stackola
'B000000W6K,true spirit
'B000000WA0,rated g
'B000000WBB,resurrection
'B000000WAP,other side of the law
'B000000WAU,blackwater
'B000000WBR,one mississippi
'B000000WCT,becoming x
'B000000WF5,lunitik muzik
'B000000WFH,usual suspects
'B000000WEL,runaway sunday
'B000000WFS,4 tha hard way
'B000000WGZ,key lime pie
'B000000WCV,homework
'B000000WHB,volume 2-1990: new decade
'B000000WGN,mystery girl
'B000000WHW,laughter &amp; lust
'B000000WIQ,singin' the blues / the blues
'B000000WGP,after 7
'B000000WGF,forever your girl
'B000000WIJ,east side story
'B000000WHD,hispanic causing panic
'B000000WJ5,home brew
'B000000WJA,are you gonna go my way
'B000000WH4,porcelain
'B000000WJ8,boom boom
'B000000WZ4,ultra
'B000000WZG,devil hopping
'B000000XD1,clear
'B000000XDR,paradise with an ocean view
'B000000XE6,blues on broadway
'B000000XF2,boogie chillun
'B000000XFS,mongo's greatest hits
'B000000XJ9,virtuoso 2
'B000000XNJ,j.a.t.p. in tokyo - live at the nichigeki theatre 1953
'B000000XT5,prime time
'B000000XUM,10 de paco
'B000000XU2,mongo introduces la lupe
'B000000XNM,musician composer raconteur
'B000000XYB,that's my story
'B000000Y0G,sonny rollins with the modern jazz quartet
'B000000XWG,black coffee
'B000000Y24,in san francisco
'B000000Y1H,brilliant corners
'B000000Y2R,jazz at massey hall
'B000000Y1M,jazz contrasts
'B000000Y1B,plays duke ellington
'B000000XZK,at folk city
'B000000Y2C,caravan
'B000000Y45,freedom suite
'B000000Y65,this here is bobby timmons
'B000000Y1W,things are getting better
'B000000Y1E,new jazz conceptions
'B000000Y5M,blue haze
'B000000Y5Y,straight ahead
'B000000Y52,monk's music
'B000000YDT,bags groove
'B000000YES,boss guitar
'B000000YCF,honeydripper
'B000000YAR,blue gene
'B000000YAL,relaxin' with the miles davis quintet
'B000000YCZ,alone in san francisco
'B000000Y4S,settin the pace
'B000000YD3,so much guitar
'B000000Y84,groove yard
'B000000Y6E,bossa nova pelos passaros
'B000000YFD,mambo with tjader
'B000000YFS,sabroso
'B000000YFH,plays mambo
'B000000YGZ,it could happen to you
'B000000YG5,saxophone colossus
'B000000YIQ,way out west
'B000000YDR,funky
'B000000YJM,black pearls
'B000000YJ1,the fox
'B000000YKB,in person
'B000000YFK,stan getz with cal tjader
'B000000YNA,night hawk
'B000000YO1,nippon soul
'B000000YPQ,new boss guitar of george benson
'B000000YRE,mongo at the village gate
'B000000YOU,afro-cuban jazz moods
'B000000YUJ,cal tjader's latin concert
'B000000YUG,latin kick
'B000000YJK,bad bossa nova
'B000000YWT,stitt meets brother jack
'B000000YZR,encounter
'B000000Z0R,blue stompin
'B000000YZU,what is this thing called soul
'B000000YZL,preachin
'B000000Z1Z,the latin side of vince guaraldi
'B000000Z13,soul call
'B000000Z3B,bluesy burrell
'B000000Z3R,late hour special
'B000000Z3Y,canyon lady
'B000000Z35,stardust
'B000000Z3U,guitar artistry
'B000000Z0G,dizzy's party
'B000000ZD9,organ combos
'B000000ZCZ,soul meeting
'B000000ZCY,monterey concerts
'B000000ZDP,soul summit
'B000000ZE0,the boss is back
'B000000ZF1,chase
'B000000ZEM,talk that talk
'B000000ZE2,crash
'B000000ZHD,isaac hayes movement
'B000000ZHM,to be continued
'B000000ZGF,money talks
'B000000ZGT,be altitude: respect
'B000000ZHQ,woman to woman
'B000000ZHO,that's where it's at!
'B000000ZGO,hot buttered soul (remastered)
'B000000ZKD,mclemore avenue
'B000000ZEB,up tight
'B000000ZLL,staple swingers
'B000000ZJF,i wanna get funky
'B000000ZFH,living black
'B000000ZID,lovejoy
'B000000ZLT,good to me-live at the whiskey 2
'B000000ZMS,black moses
'B000000ZMF,presenting isaac hayes
'B000000ZN5,dedicated to the one i love
'B000000ZN4,private numbers
'B000000ZKJ,mr big stuff
'B000001031,how much can you take
'B000001166,mercy
'B0000011C1,death may be your santa claus
'B0000011CU,vixen / windstorm
'B0000011GU,ska uprising
'B0000011MD,burglar
'B0000011N5,a gift from a flower to a garden
'B0000011P7,walk into light
'B0000011X5,stackridge
'B0000011XM,united states of america
'B0000011WE,man in the bowler hat
'B00000127G,thru my eyes
'B0000012T3,definition of a band
'B00000131M,out of the valley
'B0000013GB,southernplayalisticadillacmuzik
'B0000013GT,atliens
'B0000013GH,secrets
'B0000013G5,toni braxton
'B0000013GL,words
'B00000163G,all eyez on me
'B00000175R,on the nile
'B00000181E,jazz &amp; samba
'B0000018AU,in your bright ray
'B00000189I,this nation's saving grace
'B0000019H4,intellectuals are the shoeshine boys
'B0000019GE,songs about fucking
'B0000019G5,die kreuzen / october file
'B0000019GB,headache (ep) [vinyl]
'B0000019GG,merry go round
'B0000019H6,twelve point buck
'B0000019K2,fourth &amp; final
'B0000019HQ,life of crime/you can't pray a lie
'B0000019IM,uncompromising war on art under dictatorship
'B0000019IC,total recall
'B0000019KE,slint
'B0000019KK,hard times
'B0000019KU,at action park
'B0000019HU,spiderland
'B0000019J8,crawl
'B0000019JY,for respect
'B0000019IQ,taste of prison
'B0000019KN,tweez
'B0000019MA,soul of a new machine
'B0000019M6,shapes
'B0000019LM,exploded drawing
'B0000019M4,we didn't see you on sunday
'B0000019LE,hissing prigs in static couture
'B0000019LF,experiment zero [vinyl]
'B0000019JP,kernel
'B0000019JH,que sirhan sirhan
'B0000019M1,electro shock for president
'B0000019H8,luv 713
'B0000019JS,venus luxure #1 baby
'B0000019KG,cruise yourself
'B0000019LR,horse stories
'B0000019J1,fat elvis
'B0000019L8,house of gvsb
'B0000019M8,made from technetium
'B0000019LJ,deluxe men in space
'B0000019LV,fake can be just as good
'B0000019K4,xerxes
'B0000019KQ,god hears pleas of the innocent
'B0000019QL,refried ectoplasm (switched on vol. 2)
'B0000019KZ,don caballero 2
'B000001A69,old socks new shoes
'B000001A5Z,mister magic
'B000001A6X,songs in the key of life
'B0000019L3,over &amp; out
'B000001A6N,innervisions
'B000001A9C,the best of marvin gaye (motown anthology series)
'B000001A6T,hugh masekela &amp; union of south africa
'B000001AAT,let's get the mood right
'B000001A8C,the best of michael jackson (anthology series)
'B000001AA2,for lovers only
'B000001A6R,reconstruction
'B000001A8H,soulsation: 25th anniversary collection
'B0000019M0,stormandstress
'B000001A5X,what's going on
'B000001ADW,the jackson 5 - the greatest hits [1971]
'B000001ADF,my cherie amour
'B000001ADY,&quot;diana ross &amp; the supremes - greatest hits vol. 3&quot;
'B000001AEL,for once in my life
'B000001AFF,come get it
'B000001ABG,all the great hits
'B000001AB1,in the zone
'B000001AFH,evening with
'B000001AAF,take me higher
'B000001AAB,inner city blues
'B000001AH0,irons in the fire
'B000001ADD,signed sealed delivered
'B000001AK5,johnny gill
'B000001AEE,commodores
'B000001AJO,hotter than july
'B000001AJU,characters
'B000001AHT,nightshift
'B000001AHX,street songs
'B000001AKR,provocative
'B000001AD0,abc
'B000001AG6,greatest performances
'B000001ALK,conversation peace
'B000001AKT,forever diana
'B000001AO4,favorites
'B000001ALI,cooleyhighharmony (plus spanish tracks)-boyz ii men
'B000001AJI,in square circle
'B000001ANM,vulnerable
'B000001AJK,dancing on the ceiling
'B000001AM7,bustin out of l seven
'B000001AX5,cannons in the rain/wingless angels
'B000001BZT,copperhead road
'B000001C0G,mlk: the martin luther king jr. tapes
'B000001CRB,groovin' high
'B000001D7E,accelerator
'B000001D7P,beyond the infinite
'B000001DQG,caribou
'B000001DSD,in-sides
'B000001DUK,a decade of hits 1969-1979
'B000001DWE,rod stewart: the mercury anthology
'B000001DUP,20 all time greatest hits!
'B000001DU5,tears for fears - tears roll down: greatest hits 82-92
'B000001DVR,elton john's greatest hits volume 2
'B000001DWX,love power peace: live at the olympia paris 1971
'B000001DXH,rare masters
'B000001DW2,knights of the sound table
'B000001DYH,whisper a prayer
'B000001DXD,connected
'B000001DZR,miserere
'B000001DZ6,sons of soul
'B000001DVP,elton john - greatest hits
'B000001DZU,the payback
'B000001E0O,a night at red rocks with the colorado symphony orchestra
'B000001E1T,shame &amp; a sin
'B000001DYS,the best of cameo
'B000001DZO,gold: greatest hits
'B000001E44,wild &amp; peaceful
'B000001E56,celebration: the best of kool &amp; the gang 1979-1987
'B000001E38,mystic voyage
'B000001E58,barry white : all-time greatest hits
'B000001E0U,hot pants
'B000001E54,best of gap band
'B000001E5R,dis is da drum
'B000001E0S,sex machine
'B000001E46,in the house of stone &amp; light
'B000001E42,live at the sex machine
'B000001E3Y,junkfuel
'B000001E8L,your little secret
'B000001E0W,cardiac arrest
'B000001EB3,street gospel
'B000001DYY,elemental
'B000001EDN,made in england
'B000001E75,get on the good foot
'B000001E0Q,revolution of the mind
'B000001EF6,south of the border: verve latin jazz sides
'B000001E77,hell
'B000001EEP,his majesty king funk / up with donald byrd
'B000001EC1,cross road
'B000001EFF,100 degrees &amp; rising
'B000001EFW,saturnine martial &amp; lunatic
'B000001EGC,madman across the water
'B000001EGI,11-17-70
'B000001EG2,don't shoot me i'm only the piano player
'B000001EG6,elton john
'B000001EG8,empty sky
'B000001EE8,funky good time: anthology
'B000001EHQ,moving on
'B000001EIW,after the storm
'B000001EKJ,the casablanca years
'B000001EBG,dallas county line
'B000001EJU,can't get enough
'B000001EGA,captain fantastic and the brown dirt cowboy
'B000001EM1,do we speak a dead language
'B000001EKE,light of worlds
'B000001EGE,honky ch&acirc;teau
'B000001EM3,rock of the westies
'B000001EIU,fencewalk: anthology
'B000001EP1,first band on the moon
'B000001EOG,sings for someone you love
'B000001EHN,spike milligan
'B000001EQC,c'mon kids
'B000001ERK,3rd perspective
'B000001EVA,the lion for real (explicit version)
'B000001EW7,the very best of 10cc
'B000001ERI,sweet potato pie
'B000001EW3,come on over
'B000001EXB,the big picture
'B000001EWU,anytime
'B000001EXV,invitation only
'B000001F4Z,she's strange
'B000001F2S,the present
'B000001F5K,world shut your mouth
'B000001F38,the hurting
'B000001F6A,a question of balance
'B000001F4T,i've got so much to give
'B000001F4X,bon jovi
'B000001F66,in search of the lost chord
'B000001F4B,the crossing
'B000001F9J,gap band 3
'B000001EYI,the best that i could do 1978-1988
'B000001F6G,octave
'B000001F5Y,long distance voyager
'B000001FA7,emergency
'B000001F7V,celebrate!
'B000001FAO,disraeli gears
'B000001FA9,live at the apollo
'B000001FC0,songs from the big chair
'B000001F8P,on the radio: greatest hits volumes i &amp; ii
'B000001FBA,gap band 2
'B000001F9P,gap band 4
'B000001FCM,mothership connection
'B000001F9T,fried
'B000001FE0,odessa
'B000001FB8,gap band i
'B000001F6P,blue jays
'B000001FAG,sound affects
'B000001F7T,spin top hits
'B000001FCB,elis &amp; tom
'B000001FF6,heat treatment
'B000001FCK,funkentelechy vs. the placebo syndrome
'B000001F60,seventh sojourn
'B000001FHB,vivienne mckone
'B000001FD5,how to be a zillionaire
'B000001FFJ,rain dogs
'B000001FJV,in the jungle groove
'B000001FJY,champagne jam
'B000001FKJ,cameosis
'B000001FIR,curb servin
'B000001FKH,word up
'B000001FMU,first chapter
'B000001FJW,world machine
'B000001FNE,idea
'B000001FNN,everybody loves the sunshine
'B000001FOJ,p-funk earth tour
'B000001FND,horizontal
'B000001FMV,sharp
'B000001FOF,don't be afraid of the dark
'B000001FT9,fighting
'B000001FQK,pickin on nashville
'B000001FT2,nightclubbing
'B000001FQI,seeds of love
'B000001FU9,up for the down stroke
'B000001FU5,warm leatherette
'B000001FPI,stone gon'
'B000001FVL,age of plastic
'B000001FU6,slave to the rhythm
'B000001FSN,clues
'B000001FTX,traffic
'B000001FQM,the real thing
'B000001FRU,carved in sand
'B000001FUB,clones of dr funkenstein
'B000001FXV,bob marley and the wailers live!
'B000001FUF,gloryhallastoopid
'B000001FWQ,james brown live at the apollo 1962
'B000001FV6,rhythm killers
'B000001FZ6,the layla sessions: layla and other assorted love songs
'B000001FYV,midnight stroll
'B000001G00,latour
'B000001G09,contradiction
'B000001FTS,secret wish
'B000001G07,honey
'B000001G14,surprise
'B000001FYF,dead city radio
'B000001FZW,dream fulfilled
'B000001FU8,living my life
'B000001G03,skin tight
'B000001FUJ,seven year itch
'B000001G0U,yes i am
'B000001G0E,wolf in sheep's clothing
'B000001G0Q,brian mcknight
'B000001FZH,move to this
'B000001H5N,salsoul
'B000001H93,feelings
'B000001HQP,drunk
'B000001HQN,west of rome
'B000001I0O,beauty and the beat
'B000001I0C,call of the west
'B000001I0R,all the rage
'B000001IO3,what we believe
'B000001INC,willis
'B000001IPS,punk in drublic
'B000001ISS,everything sucks
'B000001IU1,so long &amp; thanks for all the shoes
'B000001IOJ,four on the floor
'B000001IR5,firme
'B000001ITN,thicker than water
'B000001J6I,doot doot
'B000001JOR,don't forget the chaos
'B000001L1E,strugglin lady
'B000001LDL,cost of living
'B000001MFN,fourth world
'B000001O4U,solja stories
'B000001ONK,next episode
'B000001PGZ,what you won't do for love
'B000001QJN,rock your baby: best of
'B000001QQG,g4
'B000001QPX,everybody wants some
'B000001QPK,so def so fresh so stupid
'B000001QN4,jam on it/extra ts b
'B000001QRZ,feel so free
'B000001QQE,boom i got your girlfriend
'B000001R7M,dominator-cd5
'B000001S71,dj laz
'B000001S7B,it's my cadillac
'B000001S7N,bass cube 1
'B000001SCU,bass bowl 1
'B000001SLY,wolfways
'B000001UA6,headin home
'B000001UNF,carnival of carnage
'B000001U4Y,windsong
'B000001UK0,lesson to be learned
'B000001UKE,ruthless by law
'B000001X2H,young &amp; jaded
'B000001X3C,this is teen-c power
'B000001XB9,big rusty balls
'B000001X2X,klassics with a k
'B000001X3I,something to remember me by
'B000001XLO,don't mess wit texas
'B000001X2Q,granpaw would
'B000001XQA,unwound
'B000001XUH,ditch diggin'
'B000001Y28,subliminal sandwich
'B000001Y15,the don killuminati (the 7 day theory)
'B000001Y16,don killuminati
'B000001Y17,don killuminati the 7 day theory
'B000001XY7,bim bam bum (1935-1940)
'B000001Y13,doggfather
'B000001Y5B,no doubt
'B000001Y1B,the aftermath
'B000001Y3J,necessary roughness
'B000001Y47,brown album
'B000001Y5D,bigger better faster more!
'B000001Y5F,meantime
'B000001Y61,blackstreet
'B000001Y4W,beacon street collection
'B000001Y7S,tales from the punchbowl
'B000001Y57,sailing the seas of cheese
'B000001Y8B,get you gunn / misery machine / mother inferior
'B000001Y4P,fush yu mang
'B000001Y77,injected
'B000001YX8,no hold barred
'B000001Z0P,living in a crime wave
'B000001YZU,livin' in a hoe house
'B000001ZBM,truez neva stop
'B000001ZCS,non-stop erotic cabaret
'B000001Z4V,10% love me 90% hate me
'B000001ZBL,kickin game
'B000001ZV8,all night long
'B000001ZUX,mr. wizard [vinyl]
'B000001ZV6,too bad jim
'B000001ZWU,feelin' bitchy
'B00000201T,light user syndrome
'B00000203G,where are all the nice girls
'B000002095,necropolis: dialogic project
'B0000020JS,unmerry melodies
'B0000020RI,ancestros
'B0000020VG,wiccked
'B0000020V6,ghetto blues
'B0000020VC,just marvaless
'B0000020V8,autopsy
'B000002170,in a dream
'B0000021NC,deaf mix 3
'B00000235Q,no telling lies
'B00000235R,3.v
'B0000024JL,this is how we do it
'B0000024I7,regulate g-funk era
'B0000024JD,mr smith
'B0000024IQ,greatest misses
'B0000024IB,muse sick-n-hour mess age
'B0000024IS,14 shots to the dome
'B0000024L0,n gatz we trust
'B0000024IY,born gangstaz
'B0000024LT,t.h.u.g.s.
'B0000024JZ,yo bum rush the show
'B0000024LW,ill na na
'B0000024MZ,take a look over your shoulder
'B0000024LN,muddy waters
'B0000024KT,double or nothing
'B0000024KQ,all we got iz us
'B0000024IE,fear of a black planet
'B0000024MU,in my lifetime 1
'B0000024II,mama said knock you out
'B0000024S9,wednesday morning 3 am
'B0000024T5,parsley sage rosemary &amp; thyme
'B0000024SN,sounds of silence
'B0000024JN,licensed to ill
'B0000024VP,sunshine superman
'B0000024TT,songs of leonard cohen
'B0000024PC,the graduate (1967 film)
'B0000024VV,barabajagal
'B0000024W1,leadbelly
'B0000024UX,bridge over troubled water
'B0000024WW,stoney end
'B0000024Z9,sloppy seconds
'B0000024VQ,the hurdy gurdy man
'B0000024ZQ,elf
'B0000024YL,simon and garfunkel's greatest hits
'B000002510,ship ahoy
'B000002526,hangin' around the observatory
'B000002527,open our eyes
'B0000024WG,christmas &amp; beads of sweat
'B0000024ZC,three friends
'B0000024ZV,why dontcha
'B0000024XY,gonna take a miracle
'B000002537,souvenirs
'B000002539,streetlife serenade
'B00000251D,all american boy
'B00000253J,sun goddess
'B0000024ZF,r.e.o./t.w.o.
'B00000253T,blue sky night thunder
'B0000024WV,third
'B00000255D,best of two worlds
'B00000252W,butterfly
'B00000255A,gratitude
'B00000254I,captured angel
'B00000253Y,tanya tucker - greatest hits [columbia]
'B000002562,smile
'B00000250W,ridin the storm out
'B00000258B,love at the greek
'B000002564,silk degrees
'B00000257B,jacksons
'B00000257X,fire on the mountain
'B00000259D,celebrate me home
'B000002563,starcastle
'B00000258G,go for your guns
'B00000251E,golden hits
'B000002583,high lonesome
'B0000025AU,we came to play
'B00000259L,karla bonoff
'B0000025AD,little queen
'B0000025AM,goin places
'B0000025BI,thoroughbred
'B00000256G,the best of leonard cohen
'B0000025A9,rejoice
'B0000025BA,tapestry
'B0000025BT,i'm glad you're here with me tonight
'B0000025CY,toto
'B0000025BF,wrap around joy
